Observed_Temperature,Pct_Canopy,Mean_Elevation,Pct_Water,Pct_Green_Space,BEI_PC1,POINT_X,POINT_Y
83.83075686,0,0.677018634,0,0.999996667,0,351774.898,252510.69
84,0.069279836,0.658385093,0,0.999993333,0,351873.323,252510.69
84,0.991196678,0.670807453,0.033579983,0.999996667,0,351971.7483,252510.69
84,0.986373976,0.664596273,0.073460863,0.999993333,0,352070.1733,252510.69
84,0.203006968,0.683229814,0.932856128,0.999996667,0,352168.5986,252510.69
84,0.695208699,0.664596273,0.62720132,0.999993333,0,352365.449,252510.69
84,0.999878891,0.652173913,0,0.999996667,0,352463.8743,252510.69
84,0.726740643,0.670807453,0,0.999993333,0.012705967,352562.2993,252510.69
84,0.75754246,0.670807453,0,0.978884487,0.000121552,352660.7246,252510.69
84.04495827,0.239015223,0.677018634,0,0.134948998,0.027551814,352759.1499,252510.69
84.8139484,0.105750514,0.658385093,0,0,0.028559979,352857.5749,252510.69
87.0064468,0.206600758,0.726708075,0,0,0.087254635,349609.5434,252609.1154
87,0.858429007,0.720496894,0,0,0.009131273,349707.9687,252609.1154
87.66926712,0.575331164,0.714285714,0,0,0,349806.3937,252609.1154
87.32039422,0.306955643,0.708074534,0,0,0.059194074,349904.819,252609.1154
86.89684302,0.137402273,0.708074534,0,0,0.061491777,350003.2444,252609.1154
86.08706096,0.459896485,0.701863354,0,0,0.057361846,350101.6694,252609.1154
86.00016578,0.629423966,0.695652174,0,0,0.032756263,350200.0947,252609.1154
86.61860686,0.511455266,0.689440994,0,0,0.014005986,350298.5197,252609.1154
86.46473963,0.225715405,0.683229814,0,0,0.002269256,350396.945,252609.1154
86,0.008292115,0.677018634,0,0,0.015224942,350495.3703,252609.1154
85.80015381,0.795190683,0.664596273,0,0.538199588,0.009174606,350593.7953,252609.1154
85.00169697,1,0.732919255,0,1,0,350692.2207,252609.1154
85,0.957810406,0.726708075,0,0.999996667,0,350790.6457,252609.1154
84.98550839,0.88967303,0.720496894,0.41337714,0.760960143,0,350889.071,252609.1154
84.2604462,0.002271476,0.720496894,1,1,0,350987.4963,252609.1154
84,0,0.714285714,0.999996667,0.999996667,0,351085.9213,252609.1154
84,0,0.708074534,1,1,0,351184.3467,252609.1154
84,0.426568616,0.701863354,0.361487282,0.91970931,0,351282.772,252609.1154
84,0.033763428,0.695652174,0,0.999996667,0,351381.197,252609.1154
84,0.6007391,0.689440994,0,1,0.01848143,351479.6223,252609.1154
83.81916849,0.644013216,0.683229814,0,0.999996667,0.000716378,351578.0473,252609.1154
83.14090953,0.078133005,0.645962733,0,1,0,351676.4726,252609.1154
83.56831093,0.011322462,0.732919255,0,1,0,351774.898,252609.1154
84,0.520304038,0.732919255,0,0.999996667,0,351873.323,252609.1154
84,1,0.726708075,0,1,0,351971.7483,252609.1154
84,0.705556954,0.720496894,0.479612618,0.999996667,0,352070.1733,252609.1154
84,0.945774093,0.695652174,0.31318687,0.999996667,0,352365.449,252609.1154
84,1,0.670807453,0,1,0.007605946,352463.8743,252609.1154
84,0.865070439,0.652173913,0,0.999996667,0.006632361,352562.2993,252609.1154
84,0.922350824,0.639751553,0,1,0,352660.7246,252609.1154
84,0.57108267,0.732919255,0,0.325441415,0.025078637,352759.1499,252609.1154
84.20570057,0.045848031,0.726708075,0,0,0.018016478,352857.5749,252609.1154
88.64238953,0.455918626,0.739130435,0,0,0.066042182,349215.8427,252707.5404
88,0.218823445,0.726708075,0,0,0.062363515,349314.2677,252707.5404
88,0.046635082,0.670807453,0,0,0.072223626,349412.693,252707.5404
88,0.14382471,0.745341615,0,0,0.088333531,349511.1184,252707.5404
87.10800667,0.047131325,0.732919255,0,0,0.069980566,349609.5434,252707.5404
87.37511783,0.247755151,0.714285714,0,0,0.012107036,349707.9687,252707.5404
87.99988869,0,0.701863354,0,0,0.006082288,349806.3937,252707.5404
87.90658524,0,0.689440994,0,0,0.036653318,349904.819,252707.5404
87,0.075029658,0.677018634,0,0,0.047751909,350003.2444,252707.5404
86.87165465,0.131297721,0.658385093,0,0,0.052234446,350101.6694,252707.5404
86.49079165,0.172962202,0.639751553,0,0,0.064131088,350200.0947,252707.5404
87,0.728383392,0.633540373,0,0,0.026289857,350298.5197,252707.5404
86.81786435,0.273481755,0.633540373,0,0,0.016767577,350396.945,252707.5404
86,0.209911341,0.751552795,0,0,0.008349754,350495.3703,252707.5404
85.68985167,0.519388204,0.751552795,0,0.138281124,0.016866384,350593.7953,252707.5404
85,0.999996667,0.751552795,0,0.982663999,0,350692.2207,252707.5404
85,0.678172688,0.751552795,0,0.999993333,0,350790.6457,252707.5404
84.57993307,0.990667092,0.751552795,0.029484472,0.996269788,0,350889.071,252707.5404
84,0.435070433,0.745341615,0.775528169,0.662892495,0,350987.4963,252707.5404
84,0,0.739130435,0.999993333,0.999993333,0,351085.9213,252707.5404
84,0.068869172,0.726708075,0.999996667,0.999996667,0,351184.3467,252707.5404
84,0.968910689,0.720496894,0.225540296,0.895527247,0,351282.772,252707.5404
84,0.293176617,0.708074534,0,0.999993333,0.003791198,351381.197,252707.5404
84,0.588392865,0.695652174,0,0.999996667,0.013829158,351479.6223,252707.5404
83.9952819,0.999993333,0.664596273,0,0.999993333,0,351578.0473,252707.5404
84,0.882466621,0.645962733,0,0.999996667,0,351676.4726,252707.5404
84,0.425333822,0.739130435,0,0.999996667,0,351774.898,252707.5404
84,0.986008627,0.739130435,0,0.999993333,0,351873.323,252707.5404
84,0.999996667,0.732919255,0.002207163,0.999996667,0,351971.7483,252707.5404
84,0.395414031,0.732919255,0.906568295,0.999993333,0,352070.1733,252707.5404
84,0.999993333,0.708074534,0.181662991,0.999993333,0,352365.449,252707.5404
84,0.685213214,0.708074534,0,0.999996667,0.0133054,352463.8743,252707.5404
84,0.852006296,0.701863354,0,0.999993333,0,352562.2993,252707.5404
84,0.983992795,0.701863354,0,0.999996667,0,352660.7246,252707.5404
84,0.716915221,0.689440994,0,0.535869999,0.017212342,352759.1499,252707.5404
84,0.263790738,0.689440994,0,0,0.033929262,352857.5749,252707.5404
89,0.072623459,0.726708075,0,0,0.036098211,348920.5671,252805.9657
89,0,0.720496894,0,0,0.036322918,349018.9924,252805.9657
89,0,0.714285714,0,0,0.064187347,349117.4174,252805.9657
88.53414555,0.043057378,0.708074534,0,0,0.036735379,349215.8427,252805.9657
88,0.204463956,0.701863354,0,0,0.065517777,349314.2677,252805.9657
88,0.604539652,0.695652174,0,0,0.072037928,349412.693,252805.9657
88,0.032725436,0.689440994,0,0,0.065998831,349511.1184,252805.9657
