OBJECTID,Elevation_m,Pct_GreenSpace,Pct_Impervious,Pct_Canopy,Distance_from_water_m,POINT_X,POINT_Y
381,12.92,0,53.58,50,244.96,346066.2362,256250.8476
382,3.69,0.33,97.63,50,22,355219.7799,267077.6196
384,60.46,2.7,42.73,50,407.13,337306.3934,266093.3676
385,26.16,0,100,40,236.97,338979.6217,264616.9897
386,23.51,40,99.89,30,930.86,346558.3621,264223.289
387,14.35,0,96.63,40,253.45,349707.9687,257136.6746
388,21.11,0,68.49,40,1016.66,350101.6694,267569.7456
389,21.44,0,75.45,40,556.85,344589.8582,265699.667
390,10.89,0,100,40,451.43,353054.4256,264715.415
391,10.81,0,18.89,50,310.83,353349.7009,266191.7929
392,23.41,0,65.65,40,440.98,345574.1102,267766.5962
393,14.98,0,38.78,40,274.9,344885.1339,267176.0449
394,2.04,5.56,82.33,50,12.21,355121.3545,267176.0449
395,49.27,0,36.72,40,1068.7,356007.1815,273868.9584
398,24.25,0,97.36,40,565.19,345377.2598,266191.7929
399,15.54,0,65.09,77.18,230.19,359747.339,271506.7538
401,32.37,0,66.43,40,537.7,340160.7243,271703.6041
402,45.34,0,19.75,50.33,500.03,354235.5279,276723.2893
404,12.4,0,100,40,180.32,341833.9526,267176.0449
405,5.27,0,100,50,324.66,356400.8822,259597.3045
406,22,0,96.9,40,1432.56,349412.693,265699.667
407,16.99,0,74.14,40,419.36,342719.7796,265896.5173
408,2.01,0,100,50,88.79,354333.9529,264715.415
409,26.81,0,96.95,40,282.25,339668.5984,263534.3124
410,15.19,0,97.52,50,272.56,357385.1341,269242.9742
411,23.14,0,54.64,50,232.77,354727.6539,280266.5965
412,31.33,0,27.68,50,311.97,345967.8112,282628.8014
413,4,100,0,100,5.01,360633.1657,272392.5804
414,8.34,0,72.48,50,150.78,351479.6223,274557.935
415,25.05,0,57.81,68.41,824.39,346459.9371,266290.2179
416,3.31,100,6.03,62.67,11.3,360830.0163,273868.9584
417,44.79,0,36.37,35.79,443.97,340553.1415,263346.2488
418,10.67,0,26.43,52.31,255.11,349511.1184,272589.4311
419,25.55,0,70,89.82,731.85,346263.0865,266585.4936
420,17.78,0,69.52,40,425.67,348034.7401,256250.8476
421,23.53,0,95.93,30,623.92,347247.3388,268849.2732
422,16.01,0,87.57,40,411.46,349117.4174,270128.8008
423,25.24,0,100,40,326.73,346263.0865,272983.1317
424,40.15,0,34.87,40,635.31,346656.7875,276920.1396
425,21.52,50.18,75.57,37.41,774.97,344786.7085,265010.6906
427,24.24,0,100,30,702.02,346853.6378,267668.1709
428,19.7,0,100,40,384.71,346952.0631,262451.6354
429,27,0,78.03,48.07,396.66,343211.9056,272491.0057
430,22,0,77.81,40,1303.1,350200.0947,264715.415
431,30.8,14.09,53.88,30,435.34,354826.0789,270325.6511
432,19.5,0,94.1,30,1086.36,348625.2914,267963.4465
434,25.58,0,89.82,40,49.35,338973.2959,263082.1351
435,22.1,0,61.51,47.71,1375.13,349904.819,264715.415
436,24.91,0,92.48,59.2,893.82,346558.3621,265994.9426
438,19.94,0,79.01,40,359.21,344983.5592,266782.3442
439,2,0,100,30,154.61,351282.772,270227.2261
440,46.59,0,98.21,30,562.29,341932.378,270719.3521
441,36.64,0,80.68,40,543.94,342424.5039,278199.6672
442,21.45,0,38.37,40,1208.78,350495.3703,264813.84
444,22,0,26.3,55.76,941.58,349806.3937,262845.336
445,21.98,0,76.55,30,965.43,349904.819,262845.336
446,24.55,0,98.75,40,1040.61,346066.2362,264715.415
447,25,0,83.16,46.57,235,338881.1967,264321.714
450,24.96,0,94.79,40,632,349904.819,274361.0843
451,12.77,0,91.8,30,552.22,351578.0473,267963.4465
452,33.98,0,87.25,40,373.51,343015.0549,276920.1396
453,24.04,0,98.46,30,350.25,346164.6615,268652.4229
454,31.45,0,77.92,55.26,689.83,356302.4572,270325.6511
456,40.15,0,44.43,76.85,471.92,342424.5039,280069.7462
457,14.63,0,48.78,70.71,204.02,341440.252,267274.4702
458,22.08,0,36.41,50,887.72,351381.197,266093.3676
459,9.04,0,100,40,422.94,350003.2444,275739.0373
461,52.02,0,27.7,41.96,747.87,345869.3858,277412.2656
462,23.87,0,72.02,51.68,609.7,351578.0473,281841.3998
463,26.5,0,51.17,50,75.27,342916.6299,275443.7616
464,24.5,0,100,30,1095.36,346459.9371,264813.84
465,4,0,100,30,59.92,350987.4963,270719.3521
466,8.86,0,76.42,50,377.56,352857.5749,267077.6196
467,41.11,0,47.79,40,597.6,355416.6302,278790.2185
468,43.5,0,72.73,40,641.66,341242.085,263440.8749
469,24,0,91.2,40,968.61,345475.6852,264616.9897
470,25,0,98.08,50,682.68,337700.0941,267176.0449
471,5.9,0,71.75,50,83.87,357975.6854,269046.1238
472,47.03,0,43.11,40.36,761.93,356893.0081,278593.3682
473,3.41,0,57.11,50,0.83,354530.8035,268160.2969
475,54.76,0,76.26,40,589.9,354629.2285,276132.7379
476,11.99,0,53.11,40,62.85,342129.2283,267569.7456
477,27,0,93.3,30,810.03,341538.677,264912.2653
478,36.93,0,89.1,52.07,129.38,345574.1102,275345.3366
480,23.27,0,79.17,46.79,1268.62,347641.0394,265305.966
481,35.01,0,4.48,97.74,343.11,359747.339,281546.1241
482,22.97,0,74.75,50,205.71,340652.8503,267963.4465
483,4,0,100,50,65.46,359648.9137,270817.7775
484,7.05,0,99.74,50,5.79,351971.7483,274754.7853
486,20.98,0.24,41.75,76.12,1059.23,350790.6457,265896.5173
488,21.94,0,79.48,30,273.57,351184.3467,272687.8561
489,3.42,0,7.38,30,125.66,350298.5197,270719.3521
491,18,0,99.33,50,430.85,350692.2207,272983.1317
493,21.99,0,37.49,74.24,3.06,343704.0316,274262.6593
494,22,0,70.05,50,135.75,341144.9763,268160.2969
495,42.88,2.61,76.59,30,743.06,354826.0789,272294.1554
496,11.47,69.86,0,99.97,6.14,340062.299,268553.9979
497,8.21,0,100,40,33,343113.4803,267176.0449
498,26,0,57.83,40,338.22,341833.9526,266585.4936
499,34.41,0,90.19,40,707.86,340652.8503,271998.8797
500,25.04,0,86.15,40,341.59,347739.4648,278593.3682
501,40.73,0,54.73,40,251.56,353152.8506,272687.8561
