OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
48231,87,0.1,0.3393725,0.833,296034.172,4635388.234
22415,89,0.243,0.5163898,0.595,296034.1969,4632296.558
39239,84,0.954,0,0.667,296034.466,4634367.672
15409,89,0.583,0.4679339,0.659,296034.507,4631275.996
30705,93,0.008,0.5298952,0.611,296034.7653,4633347.111
48479,87,0.07,0.4240139,0.833,296035.0455,4635418.225
22642,89,0.056,0.4350644,0.595,296035.07,4632326.549
39513,84,0.96,0,0.675,296035.3393,4634397.663
15617,89,0.067,0.6676794,0.643,296035.3799,4631305.987
30934,93,0.073,0.4839613,0.611,296035.6385,4633377.101
48726,87,0.073,0.6071093,0.833,296035.919,4635448.216
22870,89,0.093,0.372768,0.587,296035.943,4632356.54
39786,84,0.593,0,0.667,296036.2127,4634427.654
15822,89,0.095,0.5550377,0.635,296036.2528,4631335.978
31164,92,0.551,0.5073216,0.603,296036.5117,4633407.092
48971,87,0.138,0.3527472,0.841,296036.7925,4635478.207
23099,89,0.419,0.5754477,0.579,296036.8161,4632386.531
40059,84,0.049,0,0.659,296037.0861,4634457.645
16027,89,0.071,0.3398983,0.627,296037.1257,4631365.969
31395,90,0.589,0.319447,0.611,296037.3849,4633437.083
49215,87,0,0.3709013,0.857,296037.6661,4635508.197
23328,89,0,0.7302863,0.579,296037.6891,4632416.521
40332,84,0,0,0.659,296037.9595,4634487.636
16232,89,0.107,0.4605842,0.619,296037.9986,4631395.96
31625,90,0.542,0.1653043,0.611,296038.2582,4633467.074
49458,87,0.698,0.2156394,0.865,296038.5396,4635538.188
23557,88,0.162,0.3730855,0.579,296038.5622,4632446.512
40606,84,0.03,0,0.675,296038.8328,4634517.626
16437,89,0.052,0.5521892,0.611,296038.8715,4631425.951
31857,89,0,0.3201358,0.627,296039.1314,4633497.065
49700,87,0.218,0.5529075,0.865,296039.4131,4635568.179
23787,88,0.032,0.1966171,0.579,296039.4352,4632476.503
40882,84,0.107,0,0.675,296039.7062,4634547.617
16642,89,0.024,0.5090832,0.611,296039.7444,4631455.941
32089,89,0.052,0.3287662,0.627,296040.0046,4633527.056
49941,87,0.044,0.3399493,0.865,296040.2867,4635598.17
24018,88,0.214,0.2935377,0.579,296040.3083,4632506.494
41158,84,0.784,0,0.675,296040.5796,4634577.608
16848,89,0.152,0.5102936,0.611,296040.6173,4631485.932
32323,89,0.076,0.5328246,0.627,296040.8778,4633557.046
50181,87,0.007,0.5678959,0.849,296041.1602,4635628.161
24249,88,0.057,0.4294116,0.579,296041.1814,4632536.485
41434,84,0.083,0,0.675,296041.453,4634607.599
17053,89,0.044,0.4207232,0.603,296041.4903,4631515.923
32558,89,0.049,0.3591603,0.635,296041.7511,4633587.037
50420,87,0.311,0.4944489,0.849,296042.0338,4635658.151
24482,87,0.037,0.5426431,0.587,296042.0545,4632566.476
41709,84,0.076,0,0.675,296042.3264,4634637.59
17259,89,0.269,0.4365102,0.611,296042.3632,4631545.914
32795,89,0.005,0.5004901,0.627,296042.6243,4633617.028
50658,87,0.097,0.4335197,0.833,296042.9074,4635688.142
24715,87,0.707,0.3159375,0.571,296042.9275,4632596.467
41983,84,0.584,0,0.683,296043.1998,4634667.581
17465,89,0.136,0.5397232,0.611,296043.2361,4631575.905
33033,89,0.182,0.4359405,0.627,296043.4976,4633647.019
24949,87,1,0,0.54,296043.8006,4632626.457
50895,87,0.008,0.5941596,0.841,296043.8155,4635718.096
42256,84,0.36,0,0.69,296044.0732,4634697.571
17670,89,0.05,0.5512982,0.611,296044.109,4631605.896
33272,88,0.019,0.4502448,0.627,296044.3708,4633677.01
25185,87,0.809,0,0.5,296044.6737,4632656.448
42527,84,0.09,0,0.69,296044.9466,4634727.562
17876,89,0.013,0.4896812,0.611,296044.982,4631635.887
33512,88,0.005,0.5941343,0.643,296045.2441,4633707.001
25421,87,0.071,0,0.484,296045.5468,4632686.439
42797,84,0,0,0.675,296045.82,4634757.553
18082,89,0.052,0.4921879,0.611,296045.8549,4631665.877
33753,88,0.076,0.4201124,0.659,296046.1173,4633736.992
25657,87,0.49,0,0.484,296046.4199,4632716.43
43066,84,0.485,0,0.675,296046.6934,4634787.544
18282,89,0.023,0.5910963,0.611,296046.7279,4631695.868
33995,88,0.06,0.5236321,0.675,296046.9906,4633766.982
25894,87,0.259,0,0.484,296047.293,4632746.421
43334,84,0.664,0,0.675,296047.5669,4634817.535
18482,89,0,0.5395639,0.603,296047.6008,4631725.859
34239,88,0.247,0.3435472,0.683,296047.8638,4633796.973
43601,84,0.453,0,0.675,296048.4403,4634847.526
18682,89,0.07,0.5138922,0.611,296048.4738,4631755.85
34484,88,0.329,0.4574615,0.69,296048.7371,4633826.964
26373,87,1,0,0.484,296049.0393,4632806.402
43867,84,0.325,0,0.69,296049.3137,4634877.516
18882,89,0.071,0.5440754,0.603,296049.3467,4631785.841
34730,88,0.061,0.4459397,0.69,296049.6104,4633856.955
26613,87,1,0,0.484,296049.9124,4632836.393
44131,84,0.308,0,0.698,296050.1872,4634907.507
51130,87,0.271,0.1804243,0.849,296050.2035,4635741.282
19083,89,0,0.5266845,0.611,296050.2197,4631815.832
34976,88,0.052,0.4383792,0.698,296050.4837,4633886.946
26855,87,1,0,0.484,296050.7855,4632866.384
44394,84,0.215,0,0.706,296051.0606,4634937.498
19284,89,0.08,0.3849444,0.611,296051.0927,4631845.822
35223,88,0.653,0.4919087,0.69,296051.357,4633916.937
27097,87,0.628,0.078822,0.492,296051.6586,4632896.375
44657,84,0.234,0,0.706,296051.9341,4634967.489
19485,89,0.02,0.4213355,0.603,296051.9656,4631875.813
35473,87,0.125,0.4740611,0.69,296052.2303,4633946.927
